"zip","name","empflag","emp_nf","emp","qp1_nf","qp1","ap_nf","ap","est","city","stabbr","cty_name"
"00501","HOLTSVILLE, NY","A","D",0,"D",0,"D",0,2,"HOLTSVILLE","NY","SUFFOLK"
"01001","AGAWAM, MA",,"G",9418,"G",92083,"G",373116,439,"AGAWAM","MA","HAMPDEN"
"01002","AMHERST, MA",,"G",17263,"G",95047,"G",398992,572,"AMHERST","MA","HAMPSHIRE"
"01003","AMHERST, MA",,"G",184,"H",1754,"H",7181,15,"AMHERST","MA","HAMPSHIRE"
"01004","AMHERST, MA",,"H",179,"H",1168,"H",5019,16,"AMHERST","MA","HAMPSHIRE"
"01005","BARRE, MA",,"G",844,"G",6674,"G",27261,97,"BARRE","MA","WORCESTER"
"01007","BELCHERTOWN, MA",,"G",1819,"G",12688,"G",56706,221,"BELCHERTOWN","MA","HAMPSHIRE"
"01008","BLANDFORD, MA",,"G",250,"H",800,"G",2888,18,"BLANDFORD","MA","HAMPDEN"
"01009","BONDSVILLE, MA","C","S",0,"G",1392,"G",6998,16,"BONDSVILLE","MA","HAMPDEN"
"01010","BRIMFIELD, MA",,"G",305,"G",3126,"G",13508,73,"BRIMFIELD","MA","HAMPDEN"
"01011","CHESTER, MA",,"H",34,"G",239,"G",1305,13,"CHESTER","MA","HAMPDEN"
"01012","CHESTERFIELD, MA","B","S",0,"H",257,"H",1048,10,"CHESTERFIELD","MA","HAMPSHIRE"
"01013","CHICOPEE, MA",,"G",4278,"G",36241,"G",151328,317,"CHICOPEE","MA","HAMPDEN"
"01014","CHICOPEE, MA","A","D",0,"D",0,"D",0,1,"CHICOPEE","MA","HAMPDEN"
"01020","CHICOPEE, MA",,"G",7987,"G",68297,"G",290608,550,"CHICOPEE","MA","HAMPDEN"
"01021","CHICOPEE, MA",,"G",224,"G",1184,"G",5329,8,"CHICOPEE","MA","HAMPDEN"
"01022","CHICOPEE, MA",,"G",2523,"G",28642,"G",107088,63,"CHICOPEE","MA","HAMPDEN"
"01026","CUMMINGTON, MA",,"H",119,"H",856,"H",4190,19,"CUMMINGTON","MA","HAMPSHIRE"
"01027","EASTHAMPTON, MA",,"G",4080,"G",32847,"G",135573,372,"EASTHAMPTON","MA","HAMPSHIRE"
"01028","EAST LONGMEADOW, MA",,"G",7582,"G",73947,"G",303098,503,"EAST LONGMEADOW","MA","HAMPDEN"
"01029","EAST OTIS, MA","C","D",0,"D",0,"D",0,12,"EAST OTIS","MA","BERKSHIRE"
"01030","FEEDING HILLS, MA",,"G",1074,"G",7111,"G",33538,202,"FEEDING HILLS","MA","HAMPDEN"
"01031","GILBERTVILLE, MA",,"G",73,"G",286,"G",1348,20,"GILBERTVILLE","MA","WORCESTER"
"01032","GOSHEN, MA",,"G",90,"G",804,"G",3684,19,"GOSHEN","MA","HAMPSHIRE"
"01033","GRANBY, MA",,"G",686,"G",4861,"G",22578,131,"GRANBY","MA","HAMPSHIRE"
"01034","GRANVILLE, MA",,"G",111,"G",1105,"G",6322,28,"GRANVILLE","MA","HAMPDEN"
"01035","HADLEY, MA",,"G",5012,"G",34042,"G",145342,309,"HADLEY","MA","HAMPSHIRE"
"01036","HAMPDEN, MA",,"G",630,"G",4563,"G",21980,108,"HAMPDEN","MA","HAMPDEN"
"01037","HARDWICK, MA","C","D",0,"D",0,"D",0,14,"HARDWICK","MA","WORCESTER"
"01038","HATFIELD, MA",,"H",1441,"H",15116,"H",61594,64,"HATFIELD","MA","HAMPSHIRE"
"01039","HAYDENVILLE, MA",,"G",258,"H",2036,"H",8683,33,"HAYDENVILLE","MA","HAMPSHIRE"
"01040","HOLYOKE, MA",,"G",17313,"G",166754,"G",666871,908,"HOLYOKE","MA","HAMPDEN"
"01041","HOLYOKE, MA",,"G",951,"G",6605,"G",26619,32,"HOLYOKE","MA","HAMPDEN"
"01050","HUNTINGTON, MA",,"G",151,"G",1027,"G",4159,33,"HUNTINGTON","MA","HAMPSHIRE"
"01053","LEEDS, MA",,"H",1351,"H",24297,"H",97591,34,"LEEDS","MA","HAMPSHIRE"
"01054","LEVERETT, MA",,"G",114,"G",835,"G",3611,36,"LEVERETT","MA","FRANKLIN"
"01056","LUDLOW, MA",,"G",4197,"G",37219,"G",173592,413,"LUDLOW","MA","HAMPDEN"
"01057","MONSON, MA",,"G",739,"G",6077,"G",28716,145,"MONSON","MA","HAMPDEN"
"01059","NORTH AMHERST, MA",,"H",108,"H",845,"H",3465,10,"NORTH AMHERST","MA","HAMPSHIRE"
"01060","NORTHAMPTON, MA",,"G",11406,"G",106267,"G",439516,772,"NORTHAMPTON","MA","HAMPSHIRE"
"01061","NORTHAMPTON, MA",,"H",181,"G",1203,"G",5225,21,"NORTHAMPTON","MA","HAMPSHIRE"
"01062","FLORENCE, MA",,"G",1662,"G",14810,"G",59375,191,"FLORENCE","MA","HAMPSHIRE"
"01063","NORTHAMPTON, MA","H","D",0,"D",0,"D",0,5,"NORTHAMPTON","MA","HAMPSHIRE"
"01066","NORTH HATFIELD, MA","B","D",0,"D",0,"D",0,9,"NORTH HATFIELD","MA","HAMPSHIRE"
"01068","OAKHAM, MA",,"G",74,"H",589,"G",3045,26,"OAKHAM","MA","WORCESTER"
"01069","PALMER, MA",,"G",2779,"G",25143,"G",111574,261,"PALMER","MA","HAMPDEN"
"01070","PLAINFIELD, MA",,"G",27,"H",148,"H",643,9,"PLAINFIELD","MA","HAMPSHIRE"
"01071","RUSSELL, MA",,"H",81,"G",379,"G",2127,23,"RUSSELL","MA","HAMPDEN"
